route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,brigade_id,vehicle_id,variant_id
A,3,3_10405543,"KRZYKI",0,818558,23,1,818558
A,3,3_10405644,"KRZYKI",0,818558,22,1,818558
A,3,3_10405749,"KRZYKI",0,818558,1,2,818558
A,3,3_10405751,"KRZYKI",0,818558,1,2,818558
A,3,3_10405753,"KRZYKI",0,818558,1,2,818558
A,3,3_10405755,"KRZYKI",0,818558,1,2,818558
A,3,3_10405757,"KRZYKI",0,818558,1,2,818558
A,3,3_10405759,"KRZYKI",0,818558,1,2,818558
A,3,3_10405761,"KRZYKI",0,818558,1,2,818558
A,3,3_10405765,"KRZYKI",0,818558,2,1,818558
A,3,3_10405767,"KRZYKI",0,818558,2,1,818558
A,3,3_10405769,"KRZYKI",0,818558,2,1,818558
A,3,3_10405771,"KRZYKI",0,818558,2,1,818558
A,3,3_10405773,"KRZYKI",0,818558,2,1,818558
A,3,3_10405775,"KRZYKI",0,818558,2,1,818558
A,3,3_10405780,"KRZYKI",0,818558,3,1,818558
A,3,3_10405782,"KRZYKI",0,818558,3,1,818558
A,3,3_10405784,"KRZYKI",0,818558,3,1,818558
A,3,3_10405786,"KRZYKI",0,818558,3,1,818558
A,3,3_10405788,"KRZYKI",0,818558,3,1,818558
A,3,3_10405790,"KRZYKI",0,818558,3,1,818558
A,3,3_10405792,"KRZYKI",0,818558,3,1,818558
A,3,3_10405796,"KRZYKI",0,818558,4,1,818558
A,3,3_10405798,"KRZYKI",0,818558,4,1,818558
A,3,3_10405800,"KRZYKI",0,818558,4,1,818558
A,3,3_10405802,"KRZYKI",0,818558,4,1,818558
A,3,3_10405804,"KRZYKI",0,818558,4,1,818558
A,3,3_10405806,"KRZYKI",0,818558,4,1,818558
A,3,3_10405811,"KRZYKI",0,818558,5,1,818558
A,3,3_10405813,"KRZYKI",0,818558,5,1,818558
A,3,3_10405815,"KRZYKI",0,818558,5,1,818558
A,3,3_10405817,"KRZYKI",0,818558,5,1,818558
A,3,3_10405819,"KRZYKI",0,818558,5,1,818558
A,3,3_10405821,"KRZYKI",0,818558,5,1,818558
A,3,3_10405823,"KRZYKI",0,818558,5,1,818558
A,3,3_10405544,"SOŁTYSOWICE",1,818571,23,1,818571
A,3,3_10405793,"Zajezdnia Obornicka",1,820170,3,1,820170
A,3,3_10405824,"Zajezdnia Obornicka",1,820170,5,1,820170
A,3,3_10405777,"Zajezdnia Obornicka",0,820171,2,1,820171
A,3,3_10405808,"Zajezdnia Obornicka",0,820171,4,1,820171
A,3,3_10405542,"KOSZAROWA (Szpital)",1,820172,23,1,820172
A,3,3_10405643,"KOSZAROWA (Szpital)",1,820172,22,1,820172
A,3,3_10405764,"KOSZAROWA (Szpital)",1,820172,2,1,820172
A,3,3_10405747,"KRZYKI",0,820173,1,2,820173
A,3,3_10405778,"KRZYKI",0,820173,3,1,820173
A,3,3_10405794,"KRZYKI",0,820173,4,1,820173
A,3,3_10405809,"KRZYKI",0,820173,5,1,820173
A,3,3_10405645,"KOSZAROWA (Szpital)",1,821279,22,1,821279
A,3,3_10405748,"KOSZAROWA (Szpital)",1,821279,1,2,821279
A,3,3_10405750,"KOSZAROWA (Szpital)",1,821279,1,2,821279
A,3,3_10405752,"KOSZAROWA (Szpital)",1,821279,1,2,821279
A,3,3_10405754,"KOSZAROWA (Szpital)",1,821279,1,2,821279
A,3,3_10405756,"KOSZAROWA (Szpital)",1,821279,1,2,821279
A,3,3_10405758,"KOSZAROWA (Szpital)",1,821279,1,2,821279
A,3,3_10405760,"KOSZAROWA (Szpital)",1,821279,1,2,821279
A,3,3_10405766,"KOSZAROWA (Szpital)",1,821279,2,1,821279
A,3,3_10405768,"KOSZAROWA (Szpital)",1,821279,2,1,821279
A,3,3_10405770,"KOSZAROWA (Szpital)",1,821279,2,1,821279
A,3,3_10405772,"KOSZAROWA (Szpital)",1,821279,2,1,821279
A,3,3_10405774,"KOSZAROWA (Szpital)",1,821279,2,1,821279
A,3,3_10405776,"KOSZAROWA (Szpital)",1,821279,2,1,821279
A,3,3_10405779,"KOSZAROWA (Szpital)",1,821279,3,1,821279
A,3,3_10405781,"KOSZAROWA (Szpital)",1,821279,3,1,821279
A,3,3_10405783,"KOSZAROWA (Szpital)",1,821279,3,1,821279
A,3,3_10405785,"KOSZAROWA (Szpital)",1,821279,3,1,821279
A,3,3_10405787,"KOSZAROWA (Szpital)",1,821279,3,1,821279
A,3,3_10405789,"KOSZAROWA (Szpital)",1,821279,3,1,821279
A,3,3_10405791,"KOSZAROWA (Szpital)",1,821279,3,1,821279
A,3,3_10405795,"KOSZAROWA (Szpital)",1,821279,4,1,821279
A,3,3_10405797,"KOSZAROWA (Szpital)",1,821279,4,1,821279
A,3,3_10405799,"KOSZAROWA (Szpital)",1,821279,4,1,821279
A,3,3_10405801,"KOSZAROWA (Szpital)",1,821279,4,1,821279
A,3,3_10405803,"KOSZAROWA (Szpital)",1,821279,4,1,821279
A,3,3_10405805,"KOSZAROWA (Szpital)",1,821279,4,1,821279
A,3,3_10405807,"KOSZAROWA (Szpital)",1,821279,4,1,821279
A,3,3_10405810,"KOSZAROWA (Szpital)",1,821279,5,1,821279
A,3,3_10405812,"KOSZAROWA (Szpital)",1,821279,5,1,821279
A,3,3_10405814,"KOSZAROWA (Szpital)",1,821279,5,1,821279
A,3,3_10405816,"KOSZAROWA (Szpital)",1,821279,5,1,821279
A,3,3_10405818,"KOSZAROWA (Szpital)",1,821279,5,1,821279
A,3,3_10405820,"KOSZAROWA (Szpital)",1,821279,5,1,821279
A,3,3_10405822,"KOSZAROWA (Szpital)",1,821279,5,1,821279
A,4,4_10408347,"KRZYKI",0,818558,23,1,818558
A,4,4_10408447,"KRZYKI",0,818558,22,1,818558
A,4,4_10408552,"KRZYKI",0,818558,1,2,818558
A,4,4_10408554,"KRZYKI",0,818558,1,2,818558
A,4,4_10408556,"KRZYKI",0,818558,1,2,818558
A,4,4_10408558,"KRZYKI",0,818558,1,2,818558
A,4,4_10408560,"KRZYKI",0,818558,1,2,818558
A,4,4_10408562,"KRZYKI",0,818558,1,2,818558
A,4,4_10408564,"KRZYKI",0,818558,1,2,818558
A,4,4_10408568,"KRZYKI",0,818558,2,1,818558
A,4,4_10408570,"KRZYKI",0,818558,2,1,818558
A,4,4_10408572,"KRZYKI",0,818558,2,1,818558
A,4,4_10408574,"KRZYKI",0,818558,2,1,818558
A,4,4_10408576,"KRZYKI",0,818558,2,1,818558
A,4,4_10408578,"KRZYKI",0,818558,2,1,818558
A,4,4_10408583,"KRZYKI",0,818558,3,1,818558
A,4,4_10408585,"KRZYKI",0,818558,3,1,818558
A,4,4_10408587,"KRZYKI",0,818558,3,1,818558
A,4,4_10408589,"KRZYKI",0,818558,3,1,818558
A,4,4_10408591,"KRZYKI",0,818558,3,1,818558
A,4,4_10408593,"KRZYKI",0,818558,3,1,818558
A,4,4_10408595,"KRZYKI",0,818558,3,1,818558
A,4,4_10408599,"KRZYKI",0,818558,4,1,818558
A,4,4_10408601,"KRZYKI",0,818558,4,1,818558
A,4,4_10408603,"KRZYKI",0,818558,4,1,818558
A,4,4_10408605,"KRZYKI",0,818558,4,1,818558
A,4,4_10408607,"KRZYKI",0,818558,4,1,818558
A,4,4_10408609,"KRZYKI",0,818558,4,1,818558
A,4,4_10408614,"KRZYKI",0,818558,5,1,818558
A,4,4_10408616,"KRZYKI",0,818558,5,1,818558
A,4,4_10408618,"KRZYKI",0,818558,5,1,818558
A,4,4_10408620,"KRZYKI",0,818558,5,1,818558
A,4,4_10408622,"KRZYKI",0,818558,5,1,818558
A,4,4_10408624,"KRZYKI",0,818558,5,1,818558
A,4,4_10408626,"KRZYKI",0,818558,5,1,818558
A,4,4_10408348,"SOŁTYSOWICE",1,818571,23,1,818571
A,4,4_10408596,"Zajezdnia Obornicka",1,820170,3,1,820170
A,4,4_10408627,"Zajezdnia Obornicka",1,820170,5,1,820170
A,4,4_10408580,"Zajezdnia Obornicka",0,820171,2,1,820171
A,4,4_10408611,"Zajezdnia Obornicka",0,820171,4,1,820171
A,4,4_10408346,"KOSZAROWA (Szpital)",1,820172,23,1,820172
A,4,4_10408446,"KOSZAROWA (Szpital)",1,820172,22,1,820172
A,4,4_10408567,"KOSZAROWA (Szpital)",1,820172,2,1,820172
